qid,brand,token,trends_level_adidas100,pv_median,search_mom,suspect_inflated,trends_level_basket1000
Q1072452,Chiemsee,/m/03x2_m,0.467,803,-20%,,10.67
Q138318202,Syrn,/g/11ftcyz27f,0.0,3328,,,
Q3407429,Promod,Promod,1.24,1443,-70%,,28.34
Q7444725,Sector No Limits,/m/0805bt7,0.0,1876,-7%,,
Q11341902,Mikimoto,/g/1213jc5s,0.0,2185,-40%,,
Q6414100,Kinney Shoes,/m/05p8lln,0.0,1246,,,
Q1758066,Pimkie,/g/1tctwxs9,0.0,2355,-30%,,
Q873447,Gerry Weber,/m/0c1csk2,0.0,2242,+9%,,
Q246655,Next plc,/m/035qrr,8.41,9868,+3%,,192.23
Q7909026,Vakko,/g/1tg_0qfh,0.0,1399,-20%,,
Q4876226,Beams,/m/0fm2wq,0.349,4870,-60%,,7.98
Q19903561,Polygon Bikes,Polygon Bikes,0.0,1137,+7%,,
Q307894,2(x)ist,,0.012,429,+130%,,0.27
Q2456630,Trussardi,/g/121n9j5n,0.0,6065,-20%,,
Q7366633,Roots Canada,/m/03n1zl,0.547,4441,+20%,,12.5
Q110225120,Max Mara Fashion Group,/m/0dx64d,0.504,875,+20%,,11.52
Q3299151,Matix,,,88,>5000 (breakout),,
Q113992257,Cotton On Group,/m/02rsrc_,0.63,3679,+10%,,14.4
Q1524904,Gina Tricot,/g/122r2gv8,0.93,657,+160%,,21.26
Q7111938,Outdoor Research,,1.225,797,-10%,,28.0
Q5715308,Henri Bendel,/m/09r9zy,0.0,3486,+250%,,
Q18636419,The Elder Statesman,/m/0127y7mf,0.0,1482,+500%,,
Q13657207,Padini,/m/0ds7lf6,0.0,1250,+8%,,
Q10853153,United Arrows,/g/11w4glxfh9,0.0,4290,-30%,,
Q5562449,Gilly Hicks,/g/1tk688fd,0.0,1543,-4%,,
Q2475146,Ulla Popken,/g/1tjkdv4r,0.0,1869,-10%,,
Q576316,Cacharel,Cacharel,0.0,2510,-10%,,
Q787601,Chevignon,/g/120m0r4d,0.0,2063,-3%,,
Q3473599,Sarenza,/m/0sgg5p_,0.365,1245,-30%,,8.34
Q4950452,Boutique La Vie en rose,/m/0h95zw7,0.445,1008,,,10.17
Q1484081,G-Star Raw,/m/03c3ysh,1.19,4204,+6%,,27.2
Q3328552,Uterqüe,/g/11bwdv9bz_,0.0,2075,+30%,,
Q2736351,Agatha Ruiz de la Prada,/m/027zd1d,0.0,7693,-8%,,
Q670764,Brooks Sports,/m/04xx_y,1.64,10236,+7%,,37.49
Q86327186,GHOST-Bikes,,0.0,828,0%,,
Q5171196,Corneliani,/g/11x9gsqlg,0.0,1142,>5000 (breakout),,
Q3475516,Schott NYC,/m/0262s_3,0.0,2307,+20%,,
Q54869493,Bimba y Lola,/g/11wx68w1ds,0.0,2524,-6%,,
Q107394262,Ami Paris,/g/11ggzm9gjv,0.0,3434,+30%,,
Q55097814,Viyella,,0.0,903,,,
Q111283880,Anine Bing,,0.325,0,,,7.43
Q3323911,Morellato Group,/m/0805bt7,0.0,1238,+400%,,
Q1281935,Eckō Unltd.,Eckō Un,0.0,5066,+20%,,
Q131673087,Moose Knuckles,,0.0,0,>5000 (breakout),,
Q4904902,Big 5 Sporting Goods,/m/05hk2g,1.24,2102,0%,,28.34
Q430230,Coleman Company,/m/05cmyh,2.0,3484,-10%,,45.71
Q641722,John Lobb Bootmaker,/m/0d1mc4,0.0,2093,-9%,,
Q109825187,Boot Barn,Boot Barn,1.4,1432,,,32.0
Q5119055,Cia. Hering,/m/04qmj6,1.24,493,+3%,,28.34
Q22031750,Khaadi,/m/0z3tvvn,0.56,1761,-70%,,12.8
Q551889,Reusch,/m/0272r74,0.0,1759,+50%,,
Q10553200,Lager 157,/g/11dyj9hm9,1.24,0,+30%,,28.34
Q96657862,Yeezy Gap,Yeezy Gap,0.0,1524,+50%,,
Q108739951,Tailored Brands,/m/08jq12,0.89,1971,+400%,,20.34
Q54817659,PrettyLittleThing,/g/11ggr7sf1b,2.63,3854,-5%,,60.11
Q3269443,Lyle & Scott,Lyle & Scott,0.0,4192,-8%,,
Q6209926,Joe Fresh,Joe Fresh,0.0,1205,+40%,,
Q1355658,Karl Kani,/m/04gtkxm,0.0,5776,+5%,,
Q4970227,British Knights,British Knights,0.0,2575,-3%,,
Q86682767,Sézane,/g/11fqqfcwrk,0.062,1949,,,1.42
Q835487,MCM Worldwide,/m/0cc68gs,0.0,5474,-10%,,
Q3334188,NAF NAF,NAF NAF,1.24,1535,+700%,,28.34
Q7994858,White House Black Market,/g/1trxk_96,0.0,1272,-6%,,
Q43082416,Aimé Leon Dore,/g/11gbx8qs7y,0.0,4330,-10%,,
Q19903688,Target Optical,Target Optical,0.516,467,-4%,,11.79
Q119056161,F. Engel,/m/0cp8j,0.535,0,,,12.23
Q917561,Kitsuné,/m/027hx37,0.0,4013,-20%,,
Q1921997,Merrell,/g/11vkz0yjw3,1.0,6205,+2%,,22.86
Q4349016,KappAhl,/g/11b77jln37,0.281,141,-10%,,6.42
Q28857986,Lorna Jane,,0.331,873,+40%,,7.57
Q5298588,Dorothy Perkins,Dorothy Perkins,0.0,1142,-50%,,
Q7500007,Shoe Carnival,/m/094hck,1.0,1218,-10%,,22.86
Q48814393,SSENSE,/g/11f3w6jjy7,1.17,2195,-10%,,26.74
Q7899859,Urban Behavior,Urban Behavior,0.0,1268,,,
Q18390679,Robert Graham,,0.182,859,,,4.16
Q7488518,Shanghai Tang,/m/08rrs3,0.0,1949,+50%,,
Q5709676,Helmut Lang,/m/03wf5d5,0.0,2576,-2%,,
Q5392021,IC Group,,,381,>5000 (breakout),1,
Q1417347,OshKosh B'Gosh,/m/06lswd,0.0,5097,-2%,,
Q52391629,Stefano Ricci,/g/1thlxy67,0.0,1871,>5000 (breakout),,
Q115799492,Falguni Shane Peacock,/g/11sv6w68j6,0.0,702,,,
Q140069588,Dorko,Dorko,0.0,0,,,
Q7654224,Sweaty Betty,/g/11xcwq0fh,0.0,1186,,,
Q2672003,Celio,Celio,1.24,4644,-30%,,28.34
Q6108019,JD Sports,/g/11bc6vf4zn,11.9,14866,+1%,,272.0
Q2263500,Ellesse,/m/09gnxqw,0.0,7644,+6%,,
Q5322052,E. Marinella,/m/07kj2_y,0.0,1283,-30%,,
Q16544736,Courrèges,/g/12322xl6q,0.0,2137,+6%,,
Q94776153,PME Legend,/g/11c56xp79p,0.0,0,,,
Q5142575,Coldwater Creek,/m/027wvhz,0.0,1343,+10%,,
Q272361,Çalık Holding,/m/04f3cx0,0.0,672,+550%,,
Q16850757,J Brand,J,93.94,1177,,1,
Q17109937,Rack Room Shoes,/m/03m0b4j,0.476,916,,,10.88
Q18636520,Dolls Kill,Dolls Kill,0.291,1489,+30%,,6.65
Q5024439,Calvin Klein Collection,,,437,,1,
Q17019662,Dr. Scholl's,/g/11jgjxlqs6,0.0,3992,+4%,,
Q950766,Safilo,/g/122220qv,0.0,3376,-8%,,
Q6268615,Johnston & Murphy,Johnston & Murphy,0.0,1489,+6%,,
Q2567594,Wicked Weasel,/m/03yd_d5,0.0,2598,-9%,,
Q16985816,C. Wonder,,0.0,333,,,
Q2860764,Ardène,/m/0g9t35t,0.405,1001,-10%,,9.26
Q125995969,The Attico,,0.031,465,-20%,,0.71
Q6172434,Jeanswest,/m/03d9lbp,0.0,1079,+10%,,
Q1986392,Turnbull & Asser,/g/1tc_xj1c,0.0,1038,-3%,,
Q877571,Blizzard Ski,/m/03mbdcg,0.0,1180,+250%,,
Q3895,Adidas,/g/1ym_1qtkc,100.0,,,0,2285.74
Q56246099,Gymshark,/g/11f79jl42v,0.247,,,0,5.65
Q23823668,TK Maxx,/g/11bxfvnvqw,4.75,,,0,108.57
Q842174,Eddie Bauer,/m/0rq7z49,1.7,,,0,38.86
