qid,brand,token,news_level_adidas100,news_level_basket1000,trusted
Q17019662,Dr. Scholl's,/g/11jgjxlqs6,0.0,,0
Q950766,Safilo,/g/122220qv,0.0,,0
Q6268615,Johnston & Murphy,Johnston & Murphy,0.0,,0
Q2567594,Wicked Weasel,/m/03yd_d5,0.0,,0
Q16985816,C. Wonder,,,,0
Q2860764,Ardène,/m/0g9t35t,0.0,,1
Q125995969,The Attico,,,,0
Q6172434,Jeanswest,/m/03d9lbp,0.0,,0
Q1986392,Turnbull & Asser,/g/1tc_xj1c,0.15,,0
Q877571,Blizzard Ski,/m/03mbdcg,0.0,,0
Q3895,Adidas,/g/1ym_1qtkc,100.0,2628.16,1
Q56246099,Gymshark,/g/11f79jl42v,0.0,,1
Q23823668,TK Maxx,/g/11bxfvnvqw,1.54,40.47,1
Q842174,Eddie Bauer,/m/0rq7z49,1.39,36.53,1
